EQN_NO,LIFEFORM,SPP_CODE,SCI_NAME,COMM_NAME,BIO_COMP,GEO_AREA,SER_STAG,DPV_O,DPV_OMIN,DPV_OMAX,DPV_OUNIT,IP1_TEXT,IP1_MIN,IP1_MAX,IP1_UNIT,IP2_TEXT,IP2_MIN,IP2_MAX,IP2_UNIT,IP3_TEXT,IP3_MIN,IP3_MAX,IP3_UNIT,ORG_EQFM,SMP_SIZE,R_SQUARE,MS_ERROR,SEE
11,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSW,W,O,"Stem wood biomass (without bark)",,,kg,"DBH",15.300,78.000,cm,"","",,,"",,,,"ln(BBD) = -2.172 + 2.257 * ln(DBH)",18,0.990,0.014000,0.118000
12,T,"TSHE","Tsuga heterophylla","Western Hemlock",BSB,W,O,"Stem bark biomass",,,kg,"DBH",15.300,78.000,cm,"","",,,"",,,,"ln(BSB) = -4.373 + 2.258 * ln(DBH)",18,0.990,0.019000,0.138000
13,T,"TSHE","Tsuga heterophylla","Western Hemlock",BFN,W,O,"New foliage biomass",,,kg,"DBH",15.300,78.000,cm,"","",,,"",,,,"ln(BFN) = -5.379 + 2.124 * ln(DBH)",10,0.810,0.517000,0.719000
14,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BFT,W,O,"Total foliage biomass",,,kg,"DBH",17.000,76.200,cm,"","",,,"",,,,"ln(BFT) = -3.8169 + 1.9756 * ln(DBH)",11,0.970,0.025000,0.158000
15,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BBL,W,O,"Live branch biomass",,,kg,"DBH",17.000,76.200,cm,"","",,,"",,,,"ln(BBL) = -5.2581 + 2.6045 * ln(DBH)",11,0.990,0.015000,0.122000
16,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BBD,W,O,"Dead branch biomass",,,kg,"DBH",17.000,54.600,cm,"","",,,"",,,,"ln(BBD) = -9.9449 + 3.2845 * ln(DBH)",6,0.980,0.012000,0.110000
17,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSW,W,O,"Stem wood biomass (without bark)",,,kg,"DBH",17.000,76.200,cm,"","",,,"",,,,"ln(BSW) = -4.8164 + 2.9308 * ln(DBH)",14,0.980,0.052000,0.228000
18,T,"TSME","Tsuga mertensiana","Mountain Hemlock",BSB,W,O,"Stem bark biomass",,,kg,"DBH",17.000,76.200,cm,"","",,,"",,,,"ln(BSB) = -5.5868 + 2.7654 * ln(DBH)",14,0.970,0.051000,0.226000
19,T,"ABIES","Abies","Pooled Abies Species",BFT,G,M,"Total foliage biomass",,,kg,"DBH",8.700,111.000,cm,"","",,,"",,,,"ln(BFT) = -3.4662 + 1.9278 * ln(DBH)",25,0.940,0.159000,0.399000
20,T,"ABIES","Abies","Pooled Abies Species",BBL,G,M,"Live branch biomass",,,kg,"DBH",8.700,111.000,cm,"","",,,"",,,,"ln(BFT) = -4.8287 + 2.5585 * ln(DBH)",26,0.950,0.206000,0.454000
21,T,"ABIES","Abies","Pooled Abies Species",BSW,G,M,"Stem wood biomass (without bark)",,,kg,"DBH",8.700,111.000,cm,"","",,,"",,,,"ln(BSW) = -3.7389 + 2.6825 * ln(DBH)",20,0.970,0.085000,0.292000
22,T,"ABIES","Abies","Pooled Abies Species",BSB,G,M,"Stem bark biomass",,,kg,"DBH",8.700,111.000,cm,"","",,,"",,,,"ln(BSB) = -6.1918 + 2.8796 * ln(DBH)",20,0.980,0.057000,0.239000
23,T,"ABAM","Abies amabilis","Pacific Silver Fir",BFT,W,O,"Total foliage biomass",,,kg,"DBH",11.700,90.400,cm,"","",,,"",,,,"ln(BFT) = -4.5487 + 2.1926 * ln(DBH)",9,0.970,0.077000,0.277000
24,T,"ABAM","Abies amabilis","Pacific Silver Fir",BBL,W,O,"Live branch biomass",,,kg,"DBH",11.700,90.400,cm,"","",,,"",,,,"ln(BBL) = -5.2370 + 2.6261 * ln(DBH)",9,0.960,0.163000,0.404000
25,T,"ABAM","Abies amabilis","Pacific Silver Fir",BSW,W,O,"Stem wood biomass (without bark)",,,kg,"DBH",11.700,90.400,cm,"","",,,"",,,,"ln(BSW) = -3.5057 + 2.5744 * ln(DBH)",14,0.990,0.018000,0.134000
26,T,"ABAM","Abies amabilis","Pacific Silver Fir",BSB,W,O,"Stem bark biomass",,,kg,"DBH",11.700,90.400,cm,"","",,,"",,,,"ln(BSB) = -6.1166 + 2.8421 * ln(DBH)",14,0.990,0.049000,0.221000
27,T,"ABPR","Abies procera","Noble Fir",BFT,W,M,"Total foliage biomass",,,kg,"DBH",18.800,111.000,cm,"","",,,"",,,,"ln(BFT) = -4.8728 + 2.1683 * ln(DBH)",6,0.990,0.034000,0.184000
28,T,"ABPR","Abies procera","Noble Fir",BBL,W,M,"Live branch biomass",,,kg,"DBH",18.800,111.000,cm,"","",,,"",,,,"ln(BBL) = -4.1817 + 2.3324 * ln(DBH)",6,0.940,0.199000,0.446000
29,T,"ABPR","Abies procera","Noble Fir",BSW,W,M,"Stem wood biomass (without bark)",,,kg,"DBH",18.800,111.000,cm,"","",,,"",,,,"ln(BSW) = -3.7158 + 2.7592 * ln(DBH)",6,0.990,0.063000,0.251000
30,T,"ABPR","Abies procera","Noble Fir",BSB,W,M,"Stem bark biomass",,,kg,"DBH",18.800,111.000,cm,"","",,,"",,,,"ln(BSB) = -6.1000 + 2.8943 * ln(DBH)",6,0.990,0.059000,0.243000
31,T,"ACMA","Acer macrophyllum","Bigleaf Maple",BFT,W,O,"Total foliage biomass",,,kg,"DBH (1.3 m)",7.600,35.300,cm,"","",,,"",,,,"ln(BFT) = -3.765 + 1.617 * ln (DBH)",18,0.870,0.101000,0.318000
32,T,"ACMA","Acer macrophyllum","Bigleaf Maple",BBL,W,O,"Live branch biomass",,,kg,"DBH (1.3 m)",7.600,35.300,cm,"","",,,"",,,,"ln(BBL) = -4.236 + 2.430 * ln (DBH)",18,0.880,0.225000,0.474000
33,T,"ACMA","Acer macrophyllum","Bigleaf Maple",BBD,W,O,"Dead branch biomass",,,kg,"DBH (1.3 m)",7.600,35.300,cm,"","",,,"",,,,"ln(BBD) = -2.116 + 1.092 * ln (DBH)",18,0.150,1.862000,1.365000
34,T,"ACMA","Acer macrophyllum","Bigleaf Maple",BSW,W,O,"Stem wood biomass",,,kg,"DBH (1.3 m)",7.600,35.300,cm,"","",,,"",,,,"ln(BSW) = -3.493 + 2.723 * ln (DBH)",18,0.990,0.014000,0.118000
35,T,"ACMA","Acer macrophyllum","Bigleaf Maple",BSB,W,O,"Stem bark biomass",,,kg,"DBH (1.3 m)",7.600,35.300,cm,"","",,,"",,,,"ln(BSB) = -4.574 + 2.574 * ln (DBH)",18,0.980,0.058000,0.241000
36,T,"ALRU","Alnus rubra","Red Alder",BST,C,Y,"Total stem biomass",,,kg,"DBH",,,cm,"Height","",,m,"",,,,"BST = 0.02 + 1.60 X - 0.0005 X^2                                                Where X = (DBH^2 * HT)/100 (X: Range 5.0-300.0)",91,0.990,,
37,T,"ALRU","Alnus rubra","Red Alder",BAE,C,Y,"Total abvground wood & bark biomass",,,kg,"DBH",,,cm,"Height (HT)","",,m,"",,,,"BAE = 0.02 + 2.09 X - 0.0015 X^2                                                Where X = (DBH^2 * HT)/100 (X: Range 5.0-300.0)",119,0.980,,
38,T,"ALRU","Alnus rubra","Red Alder",BRL,C,Y,"Total root biomass (live)",,,kg,"DBH",,,cm,"HT","",,m,"",,,,"BRT = 0.1  + 0.48 X - 0.0005 X^2                                                Where X = (DBH^2 * HT)/100 (X: Range 5.0-300.0)",28,,,
39,T,"ALRU","Alnus rubra","Red Alder",BFT,C,Y,"Total abvground wood & bark biomass",,,kg,"DBH",4.830,17.530,cm,"Height (HT)","5.64",13.260,m,"",,,,"BFT = 0.5124 + 0.1298 X                                                         Where X = (DBH^2 * HT)/100 (X: Range 1.3-40.8)",66,0.640,0.545000,0.738000
40,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BFT,W,O,"Total foliage biomass",,,kg,"DBH",5.800,36.000,cm,"","",,,"",,,,"ln(BFT) = -3.123 + 1.693 * ln(DBH)",19,0.810,0.185000,0.430000
41,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BBL,W,O,"Live branch biomass",,,kg,"DBH",5.800,36.000,cm,"","",,,"",,,,"ln(BBL) = -4.579 + 2.576 * ln(DBH)",19,0.890,0.224000,0.473000
42,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BBD,W,O,"Dead branch biomass",,,kg,"DBH",5.800,36.000,cm,"","",,,"",,,,"ln(BBD) = -7.124 + 2.883 * ln(DBH)",19,0.810,0.538000,0.733000
43,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BSW,W,O,"Stem wood biomass",,,kg,"DBH",5.800,36.000,cm,"","",,,"",,,,"ln(BSW) = -3.708 + 2.658 * ln(DBH)",19,0.980,0.044000,0.210000
44,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BSB,W,O,"Stem bark biomass",,,kg,"DBH",5.800,36.000,cm,"","",,,"",,,,"ln(BSB) = -5.923 + 2.989 * ln(DBH)",19,0.970,0.068000,0.261000
45,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BFN,W,O,"New foliage biomass",,,kg,"DBH",5.800,36.000,cm,"","",,,"",,,,"ln(BFN) = -4.365 + 1.535 * ln(DBH)",19,0.560,0.514000,0.717000
46,T,"CEDAR","CHNO+THPL","",BFT,C,O,"Total foliage biomass",,,kg,"DBH",15.500,60.200,cm,"","",,,"",,,,"ln(BFT) = -2.617 + 1.7824 * ln(DBH)",6,0.910,0.085000,0.292000
47,T,"CEDAR","CHNO+THPL","",BBL,W,G,"Live branch biomass",,,kg,"DBH",15.500,60.200,cm,"","",,,"",,,,"ln(BBL) = -3.2661+ 2.0877 * ln(DBH)",6,0.940,0.071000,0.266000
48,T,"CEDAR","CHNO+THPL","",BSW,W,G,"Stem wood biomass (without bark)",,,kg,"DBH",15.500,60.200,cm,"","",,,"",,,,"ln(BSW) = -2.0927 + 2.1863 * ln(DBH)",6,0.960,0.058000,0.241000
49,T,"CEDAR","CHNO+THPL","",BSB,W,G,"Stem bark biomass",,,kg,"DBH",15.500,60.200,cm,"","",,,"",,,,"ln(BSB) = -4.1934 + 2.1101 * ln(DBH)",6,0.950,0.055000,0.235000
50,T,"JUOC","Juniperus occidentalis","Western Juniper",BFT,E,G,"Total foliage biomass",,,kg,"Stem basal circumference at litter surface",14.500,273.000,cm,"","",,,"",,,,"ln(BFT) = -4.231 + 1.5606 * ln(CIR)",10,0.990,0.024000,0.155000
51,T,"JUOC","Juniperus occidentalis","Western Juniper",BBL,E,G,"Live branch biomass",,,kg,"Stem basal circumference at litter surface",14.500,273.000,cm,"","",,,"",,,,"ln(BBL) = -7.2775+ 2.3337 * ln(CIR)",10,0.990,0.068000,0.261000
52,T,"JUOC","Juniperus occidentalis","Western Juniper",BBD,E,G,"Dead branch biomass",,,kg,"Stem basal circumference at litter surface",14.500,273.000,cm,"","",,,"",,,,"ln(BBD) = -11.5140 + 2.8323 * ln(CIR)",10,0.910,0.664000,0.815000
53,T,"JUOC","Juniperus occidentalis","Western Juniper",BSW,E,G,"Stem wood biomass",,,kg,"Stem basal circumference at litter surface",14.500,273.000,cm,"","",,,"",,,,"ln(BSW) = -8.5802 + 2.6389 * ln(CIR)",10,0.990,0.029000,0.170000
54,T,"JUOC","Juniperus occidentalis","Western Juniper",BSB,E,G,"Stem bark biomass",,,kg,"Stem basal circumference at litter surface",14.500,273.000,cm,"","",,,"",,,,"ln(BSB) = -10.175 + 2.6333 * ln(CIR)",10,0.990,0.152000,0.390000
55,T,"JUOC","Juniperus occidentalis","Western Juniper",AFT,E,G,"Total all-sided leaf area",,,m^2,"Stem basal circumference at litter surface",14.500,273.000,cm,"","",,,"",,,,"ln(AFT) = -2.7536 + 1.5361 * ln(CIR)",10,0.990,0.019000,0.138000
56,T,"JUOC","Juniperus occidentalis","Western Juniper",VSW,E,G,"Stem wood volume",,,cm^3,"Stem basal circumference at litter surface",14.500,273.000,cm,"","",,,"",,,,"ln(VSW) = -.8278 + 2.6006 * ln(CIR)",10,0.990,0.058000,0.241000
57,T,"JUOC","Juniperus occidentalis","Western Juniper",VSB,E,G,"Stem bark volume",,,cm^3,"Stem basal circumference at litter surface",14.500,273.000,cm,"","",,,"",,,,"ln(VSB) = -2.4884 + 2.6006 * ln(CIR)",10,0.980,0.106000,0.326000
58,T,"PINUS","Pinus","Pooled Pine Species",BFT,G,M,"Total foliage biomass",,,kg,"DBH",2.500,79.500,cm,"","",,,"",,,,"ln(BFT) = -3.9739 + 2.0039 * ln(DBH)",33,0.890,0.257000,0.507000
59,T,"PINUS","Pinus","Pooled Pine Species",BBL,G,M,"Live branch biomass",,,kg,"DBH",2.500,79.500,cm,"","",,,"",,,,"ln(BBL) = -5.2900 + 2.6524 * ln(DBH)",33,0.950,0.216000,0.465000
60,T,"PINUS","Pinus","Pooled Pine Species",BBD,G,M,"Dead branch biomass",,,kg,"DBH",15.500,79.500,cm,"","",,,"",,,,"ln(BBD) = -3.7969 + 1.7426 * ln(DBH)",14,0.530,0.129000,0.359000
61,T,"PINUS","Pinus","Pooled Pine Species",BSW,G,M,"Stem wood biomass",,,kg,"DBH",15.500,79.500,cm,"","",,,"",,,,"ln(BSW) = -4.2847 + 2.7180 * ln(DBH)",14,0.980,0.036000,0.190000
62,T,"PINUS","Pinus","Pooled Pine Species",BSB,G,M,"Stem bark biomass",,,kg,"DBH",15.500,79.500,cm,"","",,,"",,,,"ln(BSB) = -4.2062 + 2.2475 * ln(DBH)",14,0.950,0.067000,0.259000
63,T,"PICO","Pinus contorta","Lodgepole Pine",BFT,R,M,"Total foliage biomass",,,kg,"DBH",2.500,28.700,cm,"","",,,"",,,,"ln(BFT) = -3.6187 + 1.8362 * ln(DBH)",19,0.840,0.230000,0.480000
64,T,"PICO","Pinus contorta","Lodgepole Pine",BBL,R,M,"Live branch biomass",,,kg,"DBH",2.500,28.700,cm,"","",,,"",,,,"ln(BBL) = -4.6004 + 2.3533 * ln(DBH)",19,0.890,0.243000,0.493000
65,T,"PICO","Pinus contorta","Lodgepole Pine",BST,R,M,"Total stem biomass",,,kg,"DBH",2.500,28.700,cm,"","",,,"",,,,"ln(BST) = -2.9849 + 2.4287 * ln(DBH)",19,0.980,0.052000,0.228000
66,T,"PILA","Pinus lambertiana","Sugar Pine",BFT,W,O,"Total foliage biomass",,,kg,"DBH",20.600,43.300,cm,"","",,,"",,,,"ln(BFT) = -4.0230 + 2.0327 * ln(DBH)",5,0.520,0.438000,0.662000
67,T,"PILA","Pinus lambertiana","Sugar Pine",BBL,W,O,"Live branch biomass",,,kg,"DBH",20.600,43.300,cm,"","",,,"",,,,"ln(BBL) = -7.637  + 3.3648 * ln(DBH)",5,0.810,0.300000,0.548000
68,T,"PILA","Pinus lambertiana","Sugar Pine",BSW,W,O,"Stem wood biomass",,,kg,"DBH",20.600,43.300,cm,"","",,,"",,,,"ln(BSW) = -3.984  + 2.6667 * ln(DBH)",5,0.960,0.038000,0.195000
69,T,"PILA","Pinus lambertiana","Sugar Pine",BSB,W,O,"Stem bark biomass",,,kg,"DBH",20.600,43.300,cm,"","",,,"",,,,"ln(BSB) = -5.295  + 2.6186 * ln(DBH)",5,0.910,0.081000,0.285000
70,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BFT,R,G,"Total foliage biomass",,,kg,"DBH",15.500,79.500,cm,"","",,,"",,,,"ln(BFT) = -4.2612 + 2.0967 * ln(DBH)",9,0.840,0.338000,0.581000
71,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BBL,R,G,"Live branch biomass",,,kg,"DBH (1.3 m)",15.500,79.500,cm,"","",,,"",,,,"ln(BBL) = -5.3855 + 2.7185 * ln(DBH)",9,0.990,0.042000,0.205000
72,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BBD,R,G,"Dead branch biomass",,,kg,"DBH (1.3 m)",15.500,79.500,cm,"","",,,"",,,,"ln(BBD) = -2.5766 + 1.444 * ln(DBH)",9,0.640,0.000000,
73,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BSW,R,G,"Stem wood biomass",,,kg,"DBH (1.3 m)",15.500,79.500,cm,"","",,,"",,,,"ln(BSW) = -4.4907 + 2.7587 * ln(DBH)",9,0.990,0.031000,0.176000
74,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BSB,R,G,"Stem bark biomass",,,kg,"DBH (1.3 m)",15.500,79.500,cm,"","",,,"",,,,"ln(BSB) = -4.2063 + 2.2312 * ln(DBH)",9,0.970,0.063000,0.251000
75,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BFN,R,G,"New foliage biomass",,,kg,"DBH (1.3 m)",15.500,79.500,cm,"","",,,"",,,,"ln(BFN) = -6.3022 + 2.300 * ln(DBH)",9,0.860,,
76,S,"ACCI","Acer circinatum","Vine Maple",BFT,W,M,"Total foliage biomass",,,g,"DBA (at litter surface)",0.600,13.100,cm,"","",,,"",,,,"ln(BFT) = 1.8820 + 1.9754 * ln(DBA)",31,0.970,0.068000,0.261000
77,S,"ACCI","Acer circinatum","Vine Maple",AFT,W,M,"Total all-sided leaf area",,,cm^2,"DBA (at litter surface)",3.800,,cm,"","",,,"",,,,"ln(AFT) = 8.7070 + 1.9910 * ln(DBA)",19,0.940,0.203000,0.451000
78,S,"ACCI","Acer circinatum","Vine Maple",BBL,W,M,"Live branch biomass",,,g,"DBA (at litter surface)",0.600,13.100,cm,"","",,,"",,,,"ln(BBL) = 1.6650 + 3.1510 * ln(DBA)",11,0.980,0.138000,0.371000
79,S,"ACCI","Acer circinatum","Vine Maple",BST,W,M,"Total stem biomass",,,g,"DBA (at litter surface)",0.600,13.100,cm,"","",,,"",,,,"ln(BST) = 3.4860 + 2.8370 * ln(DBA)",11,0.990,0.039000,0.197000
80,K,"ACCI","Acer circinatum","Vine Maple",AFT,W,Y,"Total all-sided leaf area",,,cm^2,"DBA (at litter surface)",0.900,3.800,cm,"","",,,"",,,,"ln(AFT) = 7.9418 + 2.0103 * ln(DBA)",19,0.910,0.069000,0.263000
81,K,"ACCI","Acer circinatum","Vine Maple",BBL,W,Y,"Live branch biomass",,,g,"DBA (at litter surface)",0.900,3.800,cm,"","",,,"",,,,"ln(BBL) = 1.2147 + 3.1600 * ln(DBA)",6,0.970,0.086000,0.293000
82,K,"ACCI","Acer circinatum","Vine Maple",BBD,W,Y,"Dead branch biomass",,,g,"DBA (at litter surface)",0.900,3.800,cm,"","",,,"",,,,"ln(BBD) = 0.2217 + 1.8691 * ln(DBA)",8,0.330,1.880000,1.371000
83,K,"ACCI","Acer circinatum","Vine Maple",BST,W,Y,"Total stem biomass",,,g,"DBA (at litter surface)",0.900,3.800,cm,"","",,,"",,,,"ln(BST) = 3.1591 + 2.5335 * ln(DBA)",20,0.940,0.066000,0.257000
84,K,"ACMA","Acer macrophyllum","Bigleaf Maple",BFT,W,E,"Total foliage biomass",,,g,"DBA (at litter surface)",0.400,7.200,cm,"","",,,"",,,,"ln(BFT) = 2.2326 + 1.9862 * ln(DBA)",27,0.890,0.192000,0.438000
85,K,"ACMA","Acer macrophyllum","Bigleaf Maple",AFT,W,E,"Total all-sided leaf area",,,cm^2,"DBA (at litter surface)",0.400,7.200,cm,"","",,,"",,,,"ln(AFT) = 7.9855 + 1.9594 * ln(DBA)",27,0.910,0.161000,0.401000
86,K,"ACMA","Acer macrophyllum","Bigleaf Maple",BBL,W,E,"Live branch biomass",,,g,"DBA (at litter surface)",0.700,7.200,cm,"","",,,"",,,,"ln(BBL) = 1.0728 + 2.9121 * ln(DBA)",22,0.670,1.375000,1.173000
87,K,"ACMA","Acer macrophyllum","Bigleaf Maple",BST,W,E,"Total stem biomass",,,g,"DBA (at litter surface)",0.400,7.200,cm,"","",,,"",,,,"ln(BST) = 2.3113 + 2.9479 * ln(DBA)",27,0.960,0.156000,0.395000
88,S,"ARTR","Artemesia tridentata","Big Sagebrush",BFT,E,M,"Total foliage biomass",,,g,"Canopy volume (VOL) = length * width * height",22680.000,2700000.000,cm^3,"","",,,"",,,,"BFT  = 43.0 + 0.0000907 * VOL",20,0.680,,
89,S,"ARTR","Artemesia tridentata","Big Sagebrush",BAP,E,M,"Tot. abvground wood & bark biomass (BAP)",,,g,"Canopy volume (VOL) (= length * width * height)",22680.000,2700000.000,cm^3,"","",,,"",,,,"BAE  = 128.0 + 0.000603 * VOL",20,0.800,,
90,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BFT,W,E,"Total foliage biomass",,,g,"DBA (at litter surface)",0.400,5.500,cm,"","",,,"",,,,"ln(BFT) = 2.6399 + 1.8902 ln(DBA)",30,0.770,0.620000,0.787000
91,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BFN,W,E,"New foliage biomass",,,g,"DBA (at litter surface)",0.400,5.500,cm,"","",,,"",,,,"ln(BFN) = 1.8665 + 2.4396 ln(DBA)",30,0.750,1.147000,1.071000
92,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",AFT,W,E,"Total all-sided leaf area",,,cm^2,"DBA (at litter surface)",0.400,5.500,cm,"","",,,"",,,,"ln(AFT) = 7.6143 + 1.8783 * ln(DBA)",30,0.760,0.650000,0.806000
93,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",AFN,W,E,"New all-sided leaf area",,,cm^2,"DBA (at litter surface)",0.400,5.500,cm,"","",,,"",,,,"ln(AFN) = 6.9230 + 2.3730 * ln(DBA)",30,0.740,1.155000,1.075000
94,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BBL,W,E,"Live branch biomass",,,g,"DBA (at litter surface)",0.600,5.500,cm,"","",,,"",,,,"ln(BBL) = 2.0395 + 2.7069 * ln(DBA)",24,0.900,0.394000,0.628000
95,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BBD,W,E,"Dead branch biomass",,,g,"DBA (at litter surface)",0.600,5.500,cm,"","",,,"",,,,"ln(BBD) = 0.8999 + 2.2876 ln(DBA)",22,0.750,0.731000,0.855000
96,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BST,W,E,"Total stem biomass",,,g,"DBA (at litter surface)",0.400,5.500,cm,"","",,,"",,,,"ln(BST) = 2.9577 + 2.6103 ln(DBA)",30,0.960,0.174000,0.417000
97,S,"CEVEV","Ceanothus velutinus var.","",BAT,W,M,"Total abvground biomass (inc. foliage)",,,kg,"Length (base to tip along main stem)",100.000,250.000,cm,"DBA (at litter surface)","1.0",7.000,cm,"",,,,"ln(BAT)= -0.3803 +0.003278*LEN -0.2078*(DBA/2)^2+3.095*(DBA)^0.5",43,0.960,0.061000,0.247000
98,S,"CEVEV","Ceanothus velutinus var.","",AFN,W,M,"New all-sided leaf area",,,cm^2,"DBA (at litter surface)",1.000,7.000,cm,"","",,,"",,,,"ln(AFN) =  1.2339 - 1.1163 * DBA + 6.894 * (DBA)^.50",43,0.850,0.211000,0.459000
99,S,"CEVEV","Ceanothus velutinus var.","",BRL,W,M,"Total root biomass (live)",,,kg,"Total aboveground biomass (inc. foliage)",,,kg,"","",,,"",,,,"BRT = 0.318 + 0.1986 * BAT",24,0.840,0.271000,0.521000
100,K,"CONU","Cornus nuttallii","Pacific Dogwood",BFT,W,E,"Total foliage biomass",,,g,"DBA (at litter surface)",0.400,3.200,cm,"","",,,"",,,,"ln(BFT) = 2.7920 + 1.8685 * ln(DBA)",25,0.840,0.160000,0.400000
101,K,"CONU","Cornus nuttallii","Pacific Dogwood",AFT,W,E,"Total all-sided leaf area",,,cm^2,"DBA (at litter surface)",0.400,3.200,cm,"","",,,"",,,,"ln(AFT) = 8.3514 + 1.7920 * ln(DBA)",25,0.770,0.228000,0.477000
102,K,"CONU","Cornus nuttallii","Pacific Dogwood",BBL,W,E,"Live branch biomass",,,g,"DBA (at litter surface)",0.400,3.200,cm,"","",,,"",,,,"ln(BBL) = 2.2606 + 2.8737 * ln(DBA)",25,0.840,0.322000,0.567000
103,K,"CONU","Cornus nuttallii","Pacific Dogwood",BST,W,E,"Total stem biomass",,,g,"DBA (at litter surface)",0.400,3.200,cm,"","",,,"",,,,"ln(BST) = 3.2943 + 2.0625 * ln(DBA)",25,0.780,0.289000,0.538000
104,S,"COCOC","Corylus cornuta californi","California Hazel",BFT,W,M,"Total foliage biomass",,,g,"DBA (at litter surface)",0.700,2.900,cm,"","",,,"",,,,"ln(BFT) = 2.4170 + 2.040  * ln(DBA)",20,0.820,0.200000,0.447000
105,S,"COCOC","Corylus cornuta californi","California Hazel",AFT,W,M,"Total all-sided leaf area",,,cm^2,"DBA (at litter surface)",0.700,2.900,cm,"","",,,"",,,,"ln(AFT) = 8.502  + 2.063  * ln(DBA)",20,0.810,0.218000,0.467000
