EQN_NO,LIFEFORM,SPP_CODE,SCI_NAME,COMM_NAME,BIO_COMP,GEO_AREA,SER_STAG,TAX_LIFE,PA1_CODE,PA1_TEXT,PA1_MIN,PA1_MAX,PA1_UNIT,PA2_CODE,PA2_TEXT,PA2_MIN,PA2_MAX,PA2_UNIT,PA3_CODE,PA3_TEXT,PA3_MIN,PA3_MAX,PA3_UNIT,DEP_VAR,DPV_MIN,DPV_MAX,DPV_UNIT,CF1,CF2,CF3,CF4,EQUATION
39,T,"ALRU","Alnus rubra","Red Alder",BFT,C,Y,T,DBH,"Diameter at breast height (at 1.37 m)",4.830,17.530,cm,HT,"Height",564.000,1326.000,cm,,"",,,,"Total abvground wood & bark biomass",,,g,512.400000000,129.800000000,,,"BFT = 512.4 + 129.8*DBH^2*HT"
40,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BFT,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",5.800,36.000,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,3.784800000,1.693000000,,,"ln(BFT) = 3.7848 + 1.693 * ln(DBH)"
41,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BBL,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",5.800,36.000,cm,,"",,,,,"",,,,"Live branch biomass",,,g,2.328800000,2.576000000,,,"ln(BBL) = 2.3288 + 2.576 * ln(DBH)"
42,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BBD,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",5.800,36.000,cm,,"",,,,,"",,,,"Dead branch biomass",,,g,-0.216200000,2.883000000,,,"ln(BBD) = -0.2162 + 2.883 * ln(DBH)"
43,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BSW,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",5.800,36.000,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,3.199800000,2.658000000,,,"ln(BSW) = 3.1998 + 2.658 * ln(DBH)"
44,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BSB,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",5.800,36.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,0.984760000,2.989000000,,,"ln(BSB) = 0.98476 + 2.989 * ln(DBH)"
45,T,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BFN,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",5.800,36.000,cm,,"",,,,,"",,,,"New foliage biomass",,,g,2.542800000,1.535000000,,,"ln(BFN) = 2.5428 + 1.535 * ln(DBH)"
46,T,"CEDAR","CHNO+THPL","",BFT,C,O,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,60.200,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,4.290800000,1.782400000,,,"ln(BFT) = 4.2908 + 1.7824 * ln(DBH)"
47,T,"CEDAR","CHNO+THPL","",BBL,W,G,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,60.200,cm,,"",,,,,"",,,,"Live branch biomass",,,g,3.641700000,2.087700000,,,"ln(BBL) =  3.6417+ 2.0877 * ln(DBH)"
48,T,"CEDAR","CHNO+THPL","",BSW,W,G,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,60.200,cm,,"",,,,,"",,,,"Stem wood biomass (without bark)",,,g,4.815100000,2.186300000,,,"ln(BSW) =  4.8151 + 2.1863 * ln(DBH)"
49,T,"CEDAR","CHNO+THPL","",BSB,W,G,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,60.200,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.714400000,2.110100000,,,"ln(BSB) =  2.7144 + 2.1101 * ln(DBH)"
50,T,"JUOC","Juniperus occidentalis","Western Juniper",BFT,E,G,T,CIR,"Stem basal circumference",14.500,273.000,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,2.676800000,1.560600000,,,"ln(BFT) = 2.6768 + 1.5606 * ln(CIR)"
51,T,"JUOC","Juniperus occidentalis","Western Juniper",BBL,E,G,T,CIR,"Stem basal circumference",14.500,273.000,cm,,"",,,,,"",,,,"Live branch biomass",,,g,-0.369700000,2.333700000,,,"ln(BBL) = -0.3697+ 2.3337 * ln(CIR)"
52,T,"JUOC","Juniperus occidentalis","Western Juniper",BBD,E,G,T,CIR,"Stem basal circumference",14.500,273.000,cm,,"",,,,,"",,,,"Dead branch biomass",,,g,-4.606200000,2.832300000,,,"ln(BBD) =  -4.6062 + 2.8323 * ln(CIR)"
53,T,"JUOC","Juniperus occidentalis","Western Juniper",BSW,E,G,T,CIR,"Stem basal circumference",14.500,273.000,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,-1.672400000,2.638900000,,,"ln(BSW) = -1.6724 + 2.6389 * ln(CIR)"
54,T,"JUOC","Juniperus occidentalis","Western Juniper",BSB,E,G,T,CIR,"Stem basal circumference",14.500,273.000,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,-3.267200000,2.633300000,,,"ln(BSB) = -3.2672 + 2.6333 * ln(CIR)"
55,T,"JUOC","Juniperus occidentalis","Western Juniper",AFT,E,G,T,CIR,"Stem basal circumference",14.500,273.000,cm,,"",,,,,"",,,,"Total all-sided leaf area",,,cm^2,6.456700000,1.536100000,,,"ln(AFT) =  6.4567 + 1.5361 * ln(CIR)"
56,T,"JUOC","Juniperus occidentalis","Western Juniper",VSW,E,G,T,CIR,"Stem basal circumference",14.500,273.000,cm,,"",,,,,"",,,,"Stem wood volume",,,cm^3,-0.827800000,2.600600000,,,"ln(VSW) = -0.8278 + 2.6006 * ln(CIR)"
57,T,"JUOC","Juniperus occidentalis","Western Juniper",VSB,E,G,T,CIR,"Stem basal circumference",14.500,273.000,cm,,"",,,,,"",,,,"Stem bark volume",,,cm^3,-2.488400000,2.600600000,,,"ln(VSB) = -2.4884 + 2.6006 * ln(CIR)"
58,T,"PINUS","Pinus","Pooled Pine Species",BFT,G,M,T,DBH,"Diameter at breast height (at 1.37 m)",2.500,79.500,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,2.933860000,2.003900000,,,"ln(BFT) = 2.93386 + 2.0039 * ln(DBH)"
59,T,"PINUS","Pinus","Pooled Pine Species",BBL,G,M,T,DBH,"Diameter at breast height (at 1.37 m)",2.500,79.500,cm,,"",,,,,"",,,,"Live branch biomass",,,g,1.617800000,2.652400000,,,"ln(BBL) =  1.6178 + 2.6524 * ln(DBH)"
60,T,"PINUS","Pinus","Pooled Pine Species",BBD,G,M,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,79.500,cm,,"",,,,,"",,,,"Dead branch biomass",,,g,3.110900000,1.742600000,,,"ln(BBD) =  3.1109 + 1.7426 * ln(DBH)"
61,T,"PINUS","Pinus","Pooled Pine Species",BSW,G,M,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,79.500,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,2.623100000,2.718000000,,,"ln(BSW) =  2.6231 + 2.7180 * ln(DBH)"
62,T,"PINUS","Pinus","Pooled Pine Species",BSB,G,M,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,79.500,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.701600000,2.247500000,,,"ln(BSB) =  2.7016 + 2.2475 * ln(DBH)"
63,T,"PICO","Pinus contorta","Lodgepole Pine",BFT,R,M,T,DBH,"Diameter at breast height (at 1.37 m)",2.500,28.700,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,3.289100000,1.836200000,,,"ln(BFT) =  3.2891 + 1.8362 * ln(DBH)"
64,T,"PICO","Pinus contorta","Lodgepole Pine",BBL,R,M,T,DBH,"Diameter at breast height (at 1.37 m)",2.500,28.700,cm,,"",,,,,"",,,,"Live branch biomass",,,g,2.307360000,2.353300000,,,"ln(BBL) = 2.30736 + 2.3533 * ln(DBH)"
65,T,"PICO","Pinus contorta","Lodgepole Pine",BST,R,M,T,DBH,"Diameter at breast height (at 1.37 m)",2.500,28.700,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.922900000,2.428700000,,,"ln(BST) =  3.9229 + 2.4287 * ln(DBH)"
66,T,"PILA","Pinus lambertiana","Sugar Pine",BFT,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",20.600,43.300,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,2.884800000,2.032700000,,,"ln(BFT) =  2.8848 + 2.0327 * ln(DBH)"
67,T,"PILA","Pinus lambertiana","Sugar Pine",BBL,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",20.600,43.300,cm,,"",,,,,"",,,,"Live branch biomass",,,g,-0.729250000,3.364800000,,,"ln(BBL) = -0.72925 + 3.3648 * ln(DBH)"
68,T,"PILA","Pinus lambertiana","Sugar Pine",BSW,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",20.600,43.300,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,2.923800000,2.666700000,,,"ln(BSW) = 2.9238  + 2.6667 * ln(DBH)"
69,T,"PILA","Pinus lambertiana","Sugar Pine",BSB,W,O,T,DBH,"Diameter at breast height (at 1.37 m)",20.600,43.300,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,1.612800000,2.618600000,,,"ln(BSB) = 1.6128  + 2.6186 * ln(DBH)"
70,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BFT,R,G,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,79.500,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,2.646560000,2.096700000,,,"ln(BFT) = 2.64656 + 2.0967 * ln(DBH)"
71,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BBL,R,G,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,79.500,cm,,"",,,,,"",,,,"Live branch biomass",,,g,1.522300000,2.718500000,,,"ln(BBL) =  1.5223 + 2.7185 * ln(DBH)"
72,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BBD,R,G,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,79.500,cm,,"",,,,,"",,,,"Dead branch biomass",,,g,4.331200000,1.444000000,,,"ln(BBD) =  4.3312 + 1.444 * ln(DBH)"
73,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BSW,R,G,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,79.500,cm,,"",,,,,"",,,,"Stem wood biomass",,,g,2.417100000,2.758700000,,,"ln(BSW) =  2.4171 + 2.7587 * ln(DBH)"
74,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BSB,R,G,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,79.500,cm,,"",,,,,"",,,,"Stem bark biomass",,,g,2.701500000,2.231200000,,,"ln(BSB) =  2.7015 + 2.2312 * ln(DBH)"
75,T,"PIPO","Pinus ponderosa","Ponderosa Pine",BFN,R,G,T,DBH,"Diameter at breast height (at 1.37 m)",15.500,79.500,cm,,"",,,,,"",,,,"New foliage biomass",,,g,0.605600000,2.300000000,,,"ln(BFN) =  0.6056 + 2.300 * ln(DBH)"
76,S,"ACCI","Acer circinatum","Vine Maple",BFT,W,M,S,DBA,"Stem basal diameter",0.600,13.100,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,1.882000000,1.975400000,,,"ln(BFT) = 1.8820 + 1.9754 * ln(DBA)"
77,S,"ACCI","Acer circinatum","Vine Maple",AFT,W,M,S,DBA,"Stem basal diameter",3.800,,cm,,"",,,,,"",,,,"Total all-sided leaf area",,,cm^2,8.707000000,1.991000000,,,"ln(AFT) = 8.7070 + 1.9910 * ln(DBA)"
78,S,"ACCI","Acer circinatum","Vine Maple",BBL,W,M,S,DBA,"Stem basal diameter",0.600,13.100,cm,,"",,,,,"",,,,"Live branch biomass",,,g,1.665000000,3.151000000,,,"ln(BBL) = 1.6650 + 3.1510 * ln(DBA)"
79,S,"ACCI","Acer circinatum","Vine Maple",BST,W,M,S,DBA,"Stem basal diameter",0.600,13.100,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.486000000,2.837000000,,,"ln(BST) = 3.4860 + 2.8370 * ln(DBA)"
80,K,"ACCI","Acer circinatum","Vine Maple",AFT,W,Y,S,DBA,"Stem basal diameter",0.900,3.800,cm,,"",,,,,"",,,,"Total all-sided leaf area",,,cm^2,7.941800000,2.010300000,,,"ln(AFT) = 7.9418 + 2.0103 * ln(DBA)"
81,K,"ACCI","Acer circinatum","Vine Maple",BBL,W,Y,S,DBA,"Stem basal diameter",0.900,3.800,cm,,"",,,,,"",,,,"Live branch biomass",,,g,1.214700000,3.160000000,,,"ln(BBL) = 1.2147 + 3.1600 * ln(DBA)"
82,K,"ACCI","Acer circinatum","Vine Maple",BBD,W,Y,S,DBA,"Stem basal diameter",0.900,3.800,cm,,"",,,,,"",,,,"Dead branch biomass",,,g,0.221700000,1.869100000,,,"ln(BBD) = 0.2217 + 1.8691 * ln(DBA)"
83,K,"ACCI","Acer circinatum","Vine Maple",BST,W,Y,S,DBA,"Stem basal diameter",0.900,3.800,cm,,"",,,,,"",,,,"Total stem biomass",,,g,3.159100000,2.533500000,,,"ln(BST) = 3.1591 + 2.5335 * ln(DBA)"
84,K,"ACMA","Acer macrophyllum","Bigleaf Maple",BFT,W,E,T,DBA,"Stem basal diameter",0.400,7.200,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,2.232600000,1.986200000,,,"ln(BFT) = 2.2326 + 1.9862 * ln(DBA)"
85,K,"ACMA","Acer macrophyllum","Bigleaf Maple",AFT,W,E,T,DBA,"Stem basal diameter",0.400,7.200,cm,,"",,,,,"",,,,"Total all-sided leaf area",,,cm^2,7.985500000,1.959400000,,,"ln(AFT) = 7.9855 + 1.9594 * ln(DBA)"
86,K,"ACMA","Acer macrophyllum","Bigleaf Maple",BBL,W,E,T,DBA,"Stem basal diameter",0.700,7.200,cm,,"",,,,,"",,,,"Live branch biomass",,,g,1.072800000,2.912100000,,,"ln(BBL) = 1.0728 + 2.9121 * ln(DBA)"
87,K,"ACMA","Acer macrophyllum","Bigleaf Maple",BST,W,E,T,DBA,"Stem basal diameter",0.400,7.200,cm,,"",,,,,"",,,,"Total stem biomass",,,g,2.311300000,2.947900000,,,"ln(BST) = 2.3113 + 2.9479 * ln(DBA)"
88,S,"ARTR","Artemesia tridentata","Big Sagebrush",BFT,E,M,S,VOL,"Canopy volume (length * width * height)",22.680,2732.000,dm^3,,"",,,,,"",,,,"Total foliage biomass",,,g,43.000000000,0.090700000,,,"BFT  = 43.0 + 0.0907 * VOL"
89,S,"ARTR","Artemesia tridentata","Big Sagebrush",BAP,E,M,S,VOL,"Canopy volume (length * width * height)",22.680,2732.000,dm^3,,"",,,,,"",,,,"Biomass, aboveground, wood plus bark",,,g,128.000000000,0.603000000,,,"BAE  = 128.0 + 0.603 * VOL"
90,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BFT,W,E,T,DBA,"Stem basal diameter",0.400,5.500,cm,,"",,,,,"",,,,"Total foliage biomass",,,g,2.639900000,1.890200000,,,"ln(BFT) = 2.6399 + 1.8902 ln(DBA)"
91,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BFN,W,E,T,DBA,"Stem basal diameter",0.400,5.500,cm,,"",,,,,"",,,,"New foliage biomass",,,g,1.866500000,2.439600000,,,"ln(BFN) = 1.8665 + 2.4396 ln(DBA)"
92,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",AFT,W,E,T,DBA,"Stem basal diameter",0.400,5.500,cm,,"",,,,,"",,,,"Total all-sided leaf area",,,cm^2,7.614300000,1.878300000,,,"ln(AFT) = 7.6143 + 1.8783 * ln(DBA)"
93,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",AFN,W,E,T,DBA,"Stem basal diameter",0.400,5.500,cm,,"",,,,,"",,,,"New all-sided leaf area",,,cm^2,6.923000000,2.373000000,,,"ln(AFN) = 6.9230 + 2.3730 * ln(DBA)"
94,S,"CACH","Castanopsis chrysophylla","Golden Chinkapin",BBL,W,E,T,DBA,"Stem basal diameter",0.600,5.500,cm,,"",,,,,"",,,,"Live branch biomass",,,g,2.039500000,2.706900000,,,"ln(BBL) = 2.0395 + 2.7069 * ln(DBA)"
